,categories,id,location,name
46701,"[{'id': '4bf58dd8d48988d12b951735', 'name': 'Bus Line', 'pluralName': 'Bus Lines', 'shortName': 'Bus', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/busstation_', 'suffix': '.png'}, 'primary': True}]",4f35c480e4b0fb0dfb1d3fa3,"{'lat': 51.55292839477528, 'lng': -0.18101277253033302, 'labeledLatLngs': [{'label': 'display', 'lat': 51.55292839477528, 'lng': -0.18101277253033302}], 'distance': 225, 'cc': 'GB', 'country': 'United Kingdom', 'formattedAddress': ['United Kingdom']}",TFL Bus N13
46725,"[{'id': '4f4533814b9074f6e4fb0106', 'name': 'Middle School', 'pluralName': 'Middle Schools', 'shortName': 'Middle School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",4fbd05c0e4b05c99c45460da,"{'lat': 51.55325590177544, 'lng': -0.17780528310666557, 'labeledLatLngs': [{'label': 'display', 'lat': 51.55325590177544, 'lng': -0.17780528310666557}], 'distance': 237, 'cc': 'GB', 'country': 'United Kingdom', 'formattedAddress': ['United Kingdom']}",Devonshire House Prep School
46750,"[{'id': '4bf58dd8d48988d13b941735', 'name': 'School', 'pluralName': 'Schools', 'shortName': 'School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",4ceff51cd7268cfa3c87d24e,"{'address': '86a Fitzjohns Avenue', 'lat': 51.553533716307676, 'lng': -0.17552369227168324, 'labeledLatLngs': [{'label': 'display', 'lat': 51.553533716307676, 'lng': -0.17552369227168324}], 'distance': 295, 'postalCode': 'NW3', 'cc': 'GB', 'city': 'Camden Town', 'state': 'Greater London', 'country': 'United Kingdom', 'formattedAddress': ['86a Fitzjohns Avenue', 'Camden Town', 'Greater London', ' NW3', 'United Kingdom']}",Fitzjohns School
46755,"[{'id': '52e81612bcbc57f1066b7a48', 'name': 'Language School', 'pluralName': 'Language Schools', 'shortName': 'Language School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/education/default_', 'suffix': '.png'}, 'primary': True}]",4d0d9771903d3704784bc555,"{'address': '13 Lyndhurst Terrace', 'lat': 51.55284002276358, 'lng': -0.17493453293041794, 'labeledLatLngs': [{'label': 'display', 'lat': 51.55284002276358, 'lng': -0.17493453293041794}], 'distance': 254, 'postalCode': 'NW3 5QA', 'cc': 'GB', 'city': 'Hampstead', 'state': 'Greater London', 'country': 'United Kingdom', 'formattedAddress': ['13 Lyndhurst Terrace', 'Hampstead', 'Greater London', 'NW3 5QA', 'United Kingdom']}",Language Studies International
46760,"[{'id': '4bf58dd8d48988d198941735', 'name': 'College Academic Building', 'pluralName': 'College Academic Buildings', 'shortName': 'Academic Building', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/education/academicbuilding_', 'suffix': '.png'}, 'primary': True}]",4b86d587f964a52077a031e3,"{'address': 'Frognal', 'lat': 51.55326862114063, 'lng': -0.18074942588962148, 'labeledLatLngs': [{'label': 'display', 'lat': 51.55326862114063, 'lng': -0.18074942588962148}], 'distance': 328, 'cc': 'GB', 'city': 'London', 'state': 'Greater London', 'country': 'United Kingdom', 'formattedAddress': ['Frognal', 'London', 'Greater London', 'United Kingdom']}",University College School
46761,"[{'id': '4f4528bc4b90abdf24c9de85', 'name': 'Athletics & Sports', 'pluralName': 'Athletics & Sports', 'shortName': 'Athletics & Sports', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_', 'suffix': '.png'}, 'primary': True}]",50bb5b41e4b0c22baaaa2fcb,"{'lat': 51.553799019100275, 'lng': -0.18010194955064893, 'labeledLatLngs': [{'label': 'display', 'lat': 51.553799019100275, 'lng': -0.18010194955064893}], 'distance': 347, 'cc': 'GB', 'country': 'United Kingdom', 'formattedAddress': ['United Kingdom']}",UCS Tennis Courts
46782,"[{'id': '4bf58dd8d48988d1f5941735', 'name': 'Gourmet Shop', 'pluralName': 'Gourmet Shops', 'shortName': 'Gourmet', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_gourmet_', 'suffix': '.png'}, 'primary': True}]",4d8380c9f1e56ea814a7618a,"{'address': '41 Hampstead High Street', 'lat': 51.55228794080287, 'lng': -0.17933328825391823, 'labeledLatLngs': [{'label': 'display', 'lat': 51.55228794080287, 'lng': -0.17933328825391823}], 'distance': 237, 'postalCode': 'NW3 1QE', 'cc': 'GB', 'city': 'London', 'state': 'Greater London', 'country': 'United Kingdom', 'formattedAddress': ['41 Hampstead High Street', 'London', 'Greater London', 'NW3 1QE', 'United Kingdom']}",Whittard of Chelsea
46787,"[{'id': '4bf58dd8d48988d108951735', 'name': ""Women's Store"", 'pluralName': ""Women's Stores"", 'shortName': ""Women's Store"", 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/apparel_women_', 'suffix': '.png'}, 'primary': True}]",50ba5d76e4b0fb1ae397a71d,"{'address': '15 Hampstead High Street', 'crossStreet': 'Hampstead High Street', 'lat': 51.55549112746032, 'lng': -0.17530932894992923, 'labeledLatLngs': [{'label': 'display', 'lat': 51.55549112746032, 'lng': -0.17530932894992923}], 'distance': 488, 'postalCode': 'NW3 1PX', 'cc': 'GB', 'city': 'London', 'state': 'Greater London', 'country': 'United Kingdom', 'formattedAddress': ['15 Hampstead High Street (Hampstead High Street)', 'London', 'Greater London', 'NW3 1PX', 'United Kingdom']}",Hobbs
46789,"[{'id': '4f04aa0c2fb6e1c99f3db0b8', 'name': 'Nail Salon', 'pluralName': 'Nail Salons', 'shortName': 'Nail Salon', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/nailsalon_', 'suffix': '.png'}, 'primary': True}]",4f76f560e4b09a0a534bc3d9,"{'lat': 51.55364724923024, 'lng': -0.18048745081939452, 'labeledLatLngs': [{'label': 'display', 'lat': 51.55364724923024, 'lng': -0.18048745081939452}], 'distance': 394, 'cc': 'GB', 'country': 'United Kingdom', 'formattedAddress': ['United Kingdom']}",John Simon Hair Care & Beauty
46791,"[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]",5132107de4b0f82cec5f9197,"{'address': '72 Heath Street', 'lat': 51.55395948190172, 'lng': -0.17929125226494821, 'labeledLatLngs': [{'label': 'display', 'lat': 51.55395948190172, 'lng': -0.17929125226494821}], 'distance': 369, 'postalCode': 'Nw3 1dn', 'cc': 'GB', 'country': 'United Kingdom', 'formattedAddress': ['72 Heath Street', 'Nw3 1dn', 'United Kingdom']}",Le Petit Nicola
46796,"[{'id': '4f04afc02fb6e1c99f3db0bc', 'name': 'Mobile Phone Shop', 'pluralName': 'Mobile Phone Shops', 'shortName': 'Mobile Phones', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/mobilephoneshop_', 'suffix': '.png'}, 'primary': True}]",513b6bc4e4b0c28515cc9f1d,"{'lat': 51.552958930730625, 'lng': -0.17862280500901592, 'labeledLatLngs': [{'label': 'display', 'lat': 51.552958930730625, 'lng': -0.17862280500901592}], 'distance': 251, 'cc': 'GB', 'country': 'United Kingdom', 'formattedAddress': ['United Kingdom']}",EE
46797,[],4babe359f964a52062d23ae3,"{'address': 'Rosslyn hill, Hampstead High St.', 'lat': 51.553915824203834, 'lng': -0.17223205111611764, 'labeledLatLngs': [{'label': 'display', 'lat': 51.553915824203834, 'lng': -0.17223205111611764}], 'distance': 422, 'cc': 'GB', 'city': 'London', 'state': 'Greater London', 'country': 'United Kingdom', 'formattedAddress': ['Rosslyn hill, Hampstead High St.', 'Camden', 'Greater London', 'United Kingdom']}",Bar Room Bar
46798,"[{'id': '4bf58dd8d48988d162941735', 'name': 'Other Great Outdoors', 'pluralName': 'Other Great Outdoors', 'shortName': 'Other Outdoors', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/outdoors_', 'suffix': '.png'}, 'primary': True}]",5a885c44d4cc98775d448b5c,"{'address': 'Spring Walk', 'lat': 51.55339, 'lng': -0.1748988, 'labeledLatLngs': [{'label': 'display', 'lat': 51.55339, 'lng': -0.1748988}], 'distance': 269, 'cc': 'GB', 'city': 'London', 'state': 'Greater London', 'country': 'United Kingdom', 'formattedAddress': ['Spring Walk', 'London', 'Greater London', 'United Kingdom']}",Spring Walk
