0,1,2
4ac518bcf964a52067a220e3,35397774,1375007916
4ac518bcf964a52067a220e3,6351732,1374178981
4ac518bcf964a52067a220e3,6752768,1369831649
4ac518bcf964a52067a220e3,7897525,1352034833
4ac518bcf964a52067a220e3,21521742,1393185819
4ac518bcf964a52067a220e3,75346031,1391726988
4ac518bcf964a52067a220e3,57869460,1386015213
4ac518bcf964a52067a220e3,1908387,1372102013
4ac518bcf964a52067a220e3,3840728,1351517440
4ac518bcf964a52067a220e3,146036,1314379183
4ac518bcf964a52067a220e3,1608998,1337368216
4ac518bcf964a52067a220e3,911147,1354530543
4ac518bcf964a52067a220e3,22815378,1346016669
4ac518bcf964a52067a220e3,58311300,1370980911
4ac518bcf964a52067a220e3,57869460,1386011914
4ac518c3f964a52022a420e3,28385786,1337538132
4ac518c3f964a52022a420e3,7912988,1368711608
4ac518c3f964a52022a420e3,34447674,1349617399
4ac518c3f964a52022a420e3,59164453,1414361242
4ac518c3f964a52022a420e3,155399,1342291560
4ac518c3f964a52022a420e3,867512,1333806009
4ac518c3f964a52022a420e3,432643,1356552601
4ac518c3f964a52022a420e3,1389001,1473889112
4ac518c3f964a52022a420e3,207922,1440197611
4ac518c3f964a52022a420e3,235151,1403266034
4ac518c3f964a52022a420e3,66503032,1387733695
4ac518c3f964a52022a420e3,7261486,1386499668
4ac518c3f964a52022a420e3,891445,1514651959
4ac518c3f964a52022a420e3,20679874,1396187065
4ac518c3f964a52022a420e3,26166630,1466187890
4ac518c3f964a52022a420e3,34205256,1435177398
4ac518c3f964a52022a420e3,157986,1390138089
4ac518c3f964a52022a420e3,145233053,1496244489
4ac518c3f964a52022a420e3,55850905,1400962710
4ac518c3f964a52022a420e3,25819706,1398599719
4ac518c3f964a52022a420e3,695654,1470599563
4ac518c3f964a52022a420e3,5091725,1471013667
4ac518c3f964a52022a420e3,66578236,1427042238
4ac518c3f964a52022a420e3,5675431,1506115994
4ac518c3f964a52022a420e3,54768171,1434830014
4ac518c3f964a52022a420e3,468707,1344083375
4ac518c3f964a52022a420e3,7261486,1386435283
4ac518c3f964a52022a420e3,51536244,1403450640
4ac518c3f964a52022a420e3,12221151,1378390048
4ac518c3f964a52022a420e3,1280868,1317555482
4ac518c7f964a5204da520e3,27024563,1345120967
4ac518c7f964a5204da520e3,26169973,1406034924
4ac518c7f964a5204da520e3,2599314,1344536977
4ac518c7f964a5204da520e3,3340895,1406758203
4ac518c7f964a5204da520e3,29149980,1338596494
4ac518c7f964a5204da520e3,59245805,1388499002
4ac518c7f964a5204da520e3,5258378,1378574069
4ac518c7f964a5204da520e3,51723827,1516025705
4ac518c7f964a5204da520e3,35313597,1383491087
4ac518c7f964a5204da520e3,33949612,1492363057
4ac518c7f964a5204da520e3,3135057,1358436044
4ac518c7f964a5204da520e3,452567,1376930915
4ac518c7f964a5204da520e3,1592825,1342718973
4ac518c7f964a5204da520e3,13423325,1354918424
4ac518c7f964a5204da520e3,27799428,1338595544
4ac518c7f964a5204da520e3,4849513,1316292934
4ac518c7f964a5204da520e3,3708716,1340468661
4ac518c7f964a5204da520e3,27024563,1345120923
4ac518c7f964a5204da520e3,35164987,1351784151
4ac518c7f964a5204da520e3,11602209,1355795306
4ac518c7f964a5204da520e3,52357976,1424470619
4ac518c7f964a5204da520e3,7942695,1476621384
4ac518c7f964a5204da520e3,13741986,1442766089
4ac518c7f964a5204da520e3,10531784,1402091087
4ac518c7f964a5204da520e3,57213213,1440170894
4ac518c7f964a5204da520e3,52357976,1424470760
4ac518c7f964a5204da520e3,470506067,1516706638
4ac518c7f964a5204da520e3,11927137,1384180381
4ac518c7f964a5204da520e3,49276569,1362684875
4ac518c7f964a5204da520e3,215008155,1514556329
4ac518c7f964a52058a520e3,29997193,1367692240
4ac518c7f964a52058a520e3,4658281,1426018847
4ac518c7f964a52058a520e3,50738688,1440351999
4ac518c7f964a52058a520e3,6856580,1336918064
4ac518c7f964a52058a520e3,5763,1404598090
4ac518c7f964a52058a520e3,46126307,1405364807
4ac518c7f964a52058a520e3,148114047,1459110522
4ac518c7f964a52058a520e3,15701021,1409851292
4ac518c7f964a52058a520e3,51428443,1405513189
4ac518c7f964a52058a520e3,2540640,1518648227
4ac518c7f964a52058a520e3,1389001,1473876408
4ac518c7f964a52058a520e3,80266,1471187341
4ac518c7f964a52058a520e3,5967403,1433704832
4ac518c7f964a52058a520e3,120657166,1488471549
4ac518c7f964a52058a520e3,467511989,1516022281
4ac518c7f964a52058a520e3,12879510,1493747731
4ac518c7f964a52058a520e3,11708888,1320437662
4ac518c7f964a52058a520e3,695654,1470590803
4ac518c7f964a52058a520e3,91119019,1470772031
4ac518c7f964a52058a520e3,5163,1517092548
4ac518c7f964a52058a520e3,59457477,1400514005
